subfolder,5,6,8,9,10,11,
,3716,9954,10457,14468,15795,15954,23463
Array,2156,2630,2648,2661,2730,2730,2762
ArrayBuffer,0,78,80,80,80,80,83
ArrayIteratorPrototype,0,26,26,26,26,26,27
AsyncArrowFunction,0,0,0,1,1,1,1
AsyncFromSyncIteratorPrototype,0,0,0,26,26,26,26
AsyncFunction,0,0,16,17,17,17,18
AsyncGeneratorFunction,0,0,0,21,21,21,23
AsyncGeneratorPrototype,0,0,0,44,45,45,45
AsyncIteratorPrototype,0,0,0,4,4,4,4
Atomics,0,0,131,136,170,181,370
BigInt,0,0,0,38,38,71,73
Boolean,42,50,50,50,50,50,52
DataView,0,277,348,371,372,402,477
Date,535,744,748,748,751,751,755
Error,33,40,40,40,40,40,42
FinalizationRegistry,0,0,0,0,0,0,61
Function,376,438,439,490,490,490,512
GeneratorFunction,0,20,20,21,21,21,23
GeneratorPrototype,0,60,60,60,60,60,60
Infinity,5,5,5,5,5,5,6
IteratorPrototype,0,4,4,4,4,4,4
JSON,88,134,135,139,141,141,144
Map,0,155,155,155,155,155,156
MapIteratorPrototype,0,11,11,11,11,11,11
Math,141,309,309,309,309,309,310
NaN,5,5,5,5,5,5,6
NativeErrors,43,79,79,79,79,79,115
Number,253,326,332,333,333,333,335
Object,2863,3165,3274,3281,3310,3314,3322
Promise,0,145,147,405,409,522,617
Proxy,0,260,260,261,267,267,310
Reflect,0,151,151,151,151,151,153
RegExp,508,788,838,872,874,900,1483
RegExpStringIteratorPrototype,0,0,0,0,0,17,17
Set,0,196,196,196,196,196,197
SetIteratorPrototype,0,11,11,11,11,11,11
SharedArrayBuffer,0,0,58,58,58,58,59
String,739,996,1038,1044,1088,1109,1164
StringIteratorPrototype,0,7,7,7,7,7,7
Symbol,0,65,65,66,72,73,89
ThrowTypeError,8,9,12,12,12,12,14
TypedArray,0,580,632,987,988,988,1124
TypedArrayConstructors,0,321,357,607,609,642,734
WeakMap,0,91,91,91,91,91,93
WeakRef,0,0,0,0,0,0,28
WeakSet,0,77,77,77,77,77,79
decodeURI,51,54,54,54,54,54,55
decodeURIComponent,51,54,54,54,54,54,55
encodeURI,27,30,30,30,30,30,31
encodeURIComponent,27,30,30,30,30,30,31
eval,5,9,9,9,9,9,10
global,27,27,27,27,27,27,29
isFinite,6,16,16,16,16,16,17
isNaN,6,16,16,16,16,16,17
parseFloat,54,57,58,58,58,58,59
parseInt,54,58,59,59,59,59,60
undefined,5,5,5,5,5,5,8
