_id.version,_id.built-ins,count
11,Symbol,1
9,Proxy,1
,parseFloat,1
10,DataView,1
6,encodeURI,3
6,GeneratorPrototype,60
8,SharedArrayBuffer,58
11,DataView,30
5,JSON,88
,WeakSet,2
,parseInt,1
9,AsyncArrowFunction,1
6,RegExp,280
6,Reflect,151
,SharedArrayBuffer,1
,AsyncGeneratorFunction,2
8,DataView,71
5,decodeURI,51
,encodeURIComponent,1
6,Map,155
9,Object,7
8,Array,18
9,Array,13
5,NativeErrors,43
5,Object,2863
,Promise,95
9,BigInt,38
,Reflect,2
5,Boolean,42
9,AsyncFromSyncIteratorPrototype,26
9,AsyncFunction,1
5,Number,253
8,Date,4
5,ThrowTypeError,8
6,Math,168
5,encodeURIComponent,27
,Infinity,1
5,Math,141
6,Object,302
11,TypedArrayConstructors,33
,DataView,75
8,Promise,2
,NativeErrors,36
10,Proxy,6
10,Array,69
,ArrayBuffer,3
8,TypedArray,52
,NaN,1
8,Object,109
9,Promise,258
10,,1327
9,TypedArray,355
6,ArrayIteratorPrototype,26
10,Atomics,34
9,Function,51
9,TypedArrayConstructors,250
8,JSON,1
6,WeakSet,77
5,Date,535
,,7509
10,Object,29
9,AsyncGeneratorFunction,21
6,Proxy,260
,ArrayIteratorPrototype,1
,Map,1
11,BigInt,33
11,Promise,113
5,String,739
6,,6238
9,JSON,4
8,ThrowTypeError,3
,Array,32
11,RegExpStringIteratorPrototype,17
6,String,257
5,encodeURI,27
,Math,1
11,Atomics,11
5,Infinity,5
9,String,6
10,String,44
5,parseInt,54
10,Promise,4
9,AsyncGeneratorPrototype,44
8,parseInt,1
6,decodeURIComponent,3
6,WeakMap,91
6,encodeURIComponent,3
,undefined,3
8,Atomics,131
9,Atomics,5
,Proxy,43
6,TypedArray,580
8,,503
,Date,4
,GeneratorFunction,2
6,Boolean,8
10,RegExp,2
,Atomics,189
6,GeneratorFunction,20
9,RegExp,34
,String,55
6,StringIteratorPrototype,7
6,TypedArrayConstructors,321
,WeakMap,2
,decodeURI,1
,encodeURI,1
5,parseFloat,54
,global,2
8,parseFloat,1
10,AsyncGeneratorPrototype,1
5,undefined,5
6,Error,7
9,,4011
,Symbol,16
,decodeURIComponent,1
9,AsyncIteratorPrototype,4
6,Symbol,65
9,DataView,23
5,global,27
,AsyncFunction,1
,FinalizationRegistry,61
6,SetIteratorPrototype,11
6,NativeErrors,36
,Object,8
6,Promise,145
6,ThrowTypeError,1
6,eval,4
6,Set,196
9,GeneratorFunction,1
,Number,2
5,RegExp,508
,Error,2
,RegExp,583
5,Function,376
,WeakRef,28
,BigInt,2
,ThrowTypeError,2
,Function,22
,isFinite,1
6,IteratorPrototype,4
5,decodeURIComponent,51
5,eval,5
8,ArrayBuffer,2
10,TypedArray,1
6,MapIteratorPrototype,11
10,JSON,2
,Boolean,2
5,isFinite,6
5,isNaN,6
5,,3716
9,Number,1
6,ArrayBuffer,78
6,Function,62
5,NaN,5
9,Symbol,1
10,Symbol,6
6,Date,209
,eval,1
,isNaN,1
8,String,42
5,Array,2156
6,JSON,46
8,Number,6
8,RegExp,50
11,String,21
8,TypedArrayConstructors,36
8,AsyncFunction,16
11,RegExp,26
6,DataView,277
,Set,1
,TypedArrayConstructors,92
10,Date,3
6,isNaN,10
6,parseInt,4
6,isFinite,10
8,Function,1
11,Object,4
,JSON,3
,TypedArray,136
10,TypedArrayConstructors,2
5,Error,33
6,decodeURI,3
6,parseFloat,3
11,,159
6,Array,474
6,Number,73
